Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Rumex_thyrsiflorus,Rumex thyrsiflorus,Rumex_thyrsiflorus,Polygonaceae,Polygonoideae,33,0,1,2,0,0,0,0,0,1,,1103,1,Solomon 1969;Bousquet 1984; Weber 2015,"""moderate hay fever inducer"" - Weber 2015"
Rumex_acetosella,Rumex acetosella,Rumex_acetosella,Polygonaceae,Polygonoideae,37,2,1,2,0,0,0,0,0,1,,1106,1,Solomon 1969;Bousquet 1984; Weber 2015,"""moderate hay fever inducer"" - Weber 2015"
Solidago_canadensis,Solidago canadensis,Solidago_canadensis,Asteraceae,Asteroideae,5,1,1,1,0,0,0,0,0,1,,1118,1,Goldberg 1998,
Cytisus_scoparius,Cytisus scoparius,Cytisus_scoparius,Fabaceae,Papilionoideae,1,1,1,1,0,0,0,0,0,1,,1245,1,Weber 1985,allergenicity unclear. FDA says no allergen
Carex_arenaria,Carex arenaria,Carex_arenaria,Cyperaceae,Cyperoideae,4,0,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Carex_caryophyllea,Carex caryophyllea,Carex_caryophyllea,Cyperaceae,Cyperoideae,1,0,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Carex_hirta,Carex hirta,Carex_hirta,Cyperaceae,Cyperoideae,17,1,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Carex_ligerica,Carex ligerica,Carex_ligerica,Cyperaceae,Cyperoideae,1,0,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Carex_praecox,Carex praecox,Vignea_praecox,Cyperaceae,NA,5,0,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Carex_spicata,Carex spicata,Carex_spicata,Cyperaceae,Cyperoideae,1,0,1,1,0,0,0,0,0,1,,1251,1,Weber 1985,"Sedges are expected to be allergenic, but only little support yet.  FDA : ""no supporting data collected""; no cross-reactivity with poaceae"
Artemisia_campestris,Artemisia campestris,Artemisia_campestris,Asteraceae,Asteroideae,23,3,1,4,0,0,0,0,0,1,,1273,1,Weber 2003; D'amato 2007,cross-reactivity with other artemisia species
Achillea_millefolium,Achillea millefolium,Achillea_millefolium,Asteraceae,Asteroideae,34,1,1,1,0,0,0,0,0,1,,1274,0,Kiistala 1999; Compes 2006,severity unclear; extrapolate from slight cross reactivity with other Asteraceae
Bromus_sterilis,Bromus sterilis,Bromus_sterilis,Poaceae,Pooideae,4,2,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses, genus Bromus"
Bromus_tectorum,Bromus tectorum,Bromus_tectorum,Poaceae,Pooideae,4,1,1,3,0,0,0,0,0,1,,,1,Weber 2004; 2015,"cross-reactivity with other Pooideae, Poeae grasses, genus Bromus"
Calamagrostis_epigejos,Calamagrostis epigejos,Calamagrostis_epigejos,Poaceae,Pooideae,23,1,1,3,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity with other Pooideae
Clematis_vitalba,Clematis vitalba,Clematis_vitalba,Ranunculaceae,Ranunculoideae,1,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only; no further evidence; some reports of contact dermatitis
Convolvulus_arvensis,Convolvulus arvensis,Convolvulus_arvensis,Convolvulaceae,NA,16,2,1,0,0,0,0,0,0,1,,,0,Hruska 2003,"anecdotal evidence only; one other mention in italian allergens (CIAMPOLINI E  & CRESTI M., 1981)"
Conyza_canadensis,Conyza canadensis,Conyza_canadensis,Asteraceae,Asteroideae,16,1,1,0,0,0,0,0,0,1,,,0,Ščevková 2014,anecdotal evidence only
Corynephorus_canescens,Corynephorus canescens,Corynephorus_canescens,Poaceae,Pooideae,10,0,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Danthonia_decumbens,Danthonia decumbens,Danthonia_decumbens,Poaceae,Danthonioideae,1,0,1,1,0,0,0,0,0,1,,,1,Weber 2004,no clear info on Danthonia - Default allergen score = 1 for a Poaceae
Deschampsia_flexuosa,Deschampsia flexuosa,Deschampsia_flexuosa,Poaceae,Pooideae,2,1,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Digitaria_ischaemum,Digitaria ischaemum,Digitaria_ischaemum,Poaceae,Panicoideae,3,1,1,2,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen
Digitaria_sanguinalis,Digitaria sanguinalis,Digitaria_sanguinalis,Poaceae,Panicoideae,3,1,1,2,0,0,0,0,0,1,,,1,Weber 2004,cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen
Echium_vulgare,Echium vulgare,Echium_vulgare,Boraginaceae,Boraginoideae,12,0,1,2,0,0,0,0,0,1,,,0,Katelaris et al. 1982,similar to Paterson's curse (Echium plantagineum)?
Eragrostis_minor,Eragrostis minor,Eragrostis_minor,Poaceae,Chloridoideae,1,0,1,2,0,0,0,0,0,1,,,1,Weber 2004,"""﻿cross-reacting profilins and calcium-binding allergens are minor allergens"""
Festuca_brevipila,Festuca brevipila,Festuca_trachyphylla,Poaceae,Pooideae,39,0,1,3,0,0,0,0,0,1,,,1,Weber 2004,"cross-reactivity with other Pooideae, Poeae grasses"
Galium_verum,Galium verum,Galium_verum,Rubiaceae,Rubioideae,8,2,0,0,0,0,0,0,0,1,,,0,Hruska 2003,anecdotal evidence only; mostly contact dermatitis
