Species,Species_name,Species_acceptedname,family,subfamily,Frequency,allergen_score_old,allergenicity_anecdotal,allergen_score_corrected,IUIS.record,SDAP.record,AllFam.record,Allergenonline.record,Allergome.record,additional_ref,react.europe.Allergome,FDA,allergenicity_strict,ref_severity,Comment_severity
Lamium_purpureum,Lamium purpureum,Lamium_purpureum,Lamiaceae,Lamioideae,10,0,0,0,0,0,0,0,0,0,,,0,,
Lapsana_communis,Lapsana communis,Lapsana_communis,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Leucanthemum_vulgare_agg.,Leucanthemum vulgare agg.,Leucanthemum_vulgare,Asteraceae,Asteroideae,1,1,1,0,0,0,0,0,0,0,,,0,Ščevková 2014,anecdotal evidence only
Lotus_corniculatus,Lotus corniculatus,Lotus_corniculatus,Fabaceae,Papilionoideae,3,0,0,0,0,0,0,0,0,0,,,0,,
Luzula_campestris,Luzula campestris,Luzula_campestris,Juncaceae,NA,5,0,1,0,0,0,0,0,0,0,,,0,,"Only ""suspected"" of causing allergic reaction, but no strong evidence; No allergy has been reported for Common  wood rush; http://www.pollenlibrary.com/Specie/Luzula+multiflora"
Luzula_multiflora,Luzula multiflora,Luzula_multiflora,Juncaceae,NA,1,0,1,0,0,0,0,0,0,0,,,0,,"Only ""suspected"" of causing allergic reaction, but no strong evidence; No allergy has been reported for Common  wood rush; http://www.pollenlibrary.com/Specie/Luzula+multiflora"
Malva_moschata,Malva moschata,Malva_moschata,Malvaceae,Malvoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Melampyrum_pratense,Melampyrum pratense,Melampyrum_pratense,Orobanchaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Moehringia_trinervia,Moehringia trinervia,Moehringia_trinervia,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Myosotis_arvensis,Myosotis arvensis,Myosotis_arvensis,Boraginaceae,Cynoglossoideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Myosotis_ramosissima,Myosotis ramosissima,Myosotis_ramosissima,Boraginaceae,Cynoglossoideae,28,0,0,0,0,0,0,0,0,0,,,0,,
Myosotis_stricta,Myosotis stricta,Myosotis_stricta,Boraginaceae,Cynoglossoideae,6,0,0,0,0,0,0,0,0,0,,,0,,
Oenothera_biennis_agg.,Oenothera biennis agg.,Oenothera_biennis,Onagraceae,Onagroideae,14,0,0,0,0,0,0,0,0,0,,,0,,
Ononis_repens,Ononis repens,Ononis_repens,Fabaceae,Papilionoideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Papaver,Papaver,Papaver,Papaveraceae,Papaveroideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Papaver_argemone,Papaver argemone,Papaver_argemone,Papaveraceae,Papaveroideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Papaver_dubium,Papaver dubium,Papaver_dubium,Papaveraceae,Papaveroideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Petrorhagia_prolifera,Petrorhagia prolifera,Petrorhagia_prolifera,Caryophyllaceae,NA,18,0,0,0,0,0,0,0,0,0,,,0,,
Petrorhagia_saxifraga,Petrorhagia saxifraga,Petrorhagia_saxifraga,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Peucedanum_oreoselinum,Peucedanum oreoselinum,Peucedanum_oreoselinum,Apiaceae,Apioideae,4,0,0,0,0,0,0,0,0,0,,,0,,
Picris_hieracioides,Picris hieracioides,Picris_hieracioides,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Pimpinella_saxifraga_agg.,Pimpinella saxifraga agg.,Pimpinella_saxifraga,Apiaceae,Apioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Polygonatum_odoratum,Polygonatum odoratum,Polygonatum_odoratum,Asparagaceae,Nolinoideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Portulaca_oleracea,Portulaca oleracea,Portulaca_oleracea,Portulacaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Potentilla_incana,Potentilla incana,Potentilla_incana,Rosaceae,Rosoideae,4,0,1,0,0,0,0,0,0,0,,,0,,anecdotal evidence only
Potentilla_verna,Potentilla verna,Potentilla_verna,Rosaceae,Rosoideae,3,0,1,0,0,0,0,0,0,0,,,0,,anecdotal evidence only
Prunus_spinosa,Prunus spinosa,Prunus_spinosa,Rosaceae,Amygdaloideae,1,0,1,0,0,0,0,0,0,0,,,0,,Prunus persica (peach) evidence of pollen allergy (IUIS)... But otherwise only allergies to fruit for other prunus species
Ranunculus_acris,Ranunculus acris,Ranunculus_acris,Ranunculaceae,Ranunculoideae,1,0,1,0,0,0,0,0,0,0,,,0,,anecdotal evidence only
Rosa_canina_agg.,Rosa canina agg.,Rosa_canina,Rosaceae,Rosoideae,2,1,1,1,0,0,0,0,0,0,,,0,,anecdotal evidence only
Rubus_caesius,Rubus caesius,Rubus_caesius,Rosaceae,Rosoideae,5,1,0,0,0,0,0,0,0,0,,,0,,
Rubus_sect._Rubus,Rubus sect. Rubus,Rubus,Rosaceae,Rosoideae,2,1,0,0,0,0,0,0,0,0,,,0,,
Salvia_pratensis,Salvia pratensis,Salvia_pratensis,Lamiaceae,Nepetoideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Sanguisorba_minor_subsp._balearica,Sanguisorba minor subsp. balearica,Poterium_sanguisorba_subsp._balearicum,Asteraceae,NA,1,1,1,0,0,0,0,0,0,0,,,0,,No evidence of allergy (except unsupported mention in pollenibrary.com); cited as having possible  anti-allergic properties
Saxifraga_tridactylites,Saxifraga tridactylites,Saxifraga_tridactylites,Saxifragaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Scleranthus_annuus_agg.,Scleranthus annuus agg.,Scleranthus_annuus,Caryophyllaceae,NA,4,0,0,0,0,0,0,0,0,0,,,0,,
Scleranthus_perennis,Scleranthus perennis,Scleranthus_perennis,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Scorzoneroides_autumnalis,Scorzoneroides autumnalis,Scorzoneroides_autumnalis,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Securigera_varia,Securigera varia,Securigera_varia,Fabaceae,Papilionoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Sedum_acre,Sedum acre,Sedum_acre,Crassulaceae,NA,16,0,0,0,0,0,0,0,0,0,,,0,,
Sedum_album,Sedum album,Sedum_album,Crassulaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Sedum_maximum,Sedum maximum,Sedum_maximum,Crassulaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Sedum_rupestre,Sedum rupestre,Sedum_rupestre,Crassulaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Sedum_sexangulare,Sedum sexangulare,Sedum_sexangulare,Crassulaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Silene_conica,Silene conica,Silene_conica,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Silene_latifolia_subsp._alba,Silene latifolia subsp. alba,Silene_latifolia,Caryophyllaceae,NA,10,0,0,0,0,0,0,0,0,0,,,0,,
Silene_vulgaris,Silene vulgaris,Silene_vulgaris,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Sisymbrium_loeselii,Sisymbrium loeselii,Sisymbrium_loeselii,Brassicaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Solanum_nigrum,Solanum nigrum,Solanum_nigrum,Solanaceae,Solanoideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Spergula_morisonii,Spergula morisonii,Spergula_morisonii,Caryophyllaceae,NA,4,0,0,0,0,0,0,0,0,0,,,0,,
Spergularia_rubra,Spergularia rubra,Spergularia_rubra,Caryophyllaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Stellaria_graminea,Stellaria graminea,Stellaria_graminea,Caryophyllaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Stellaria_pallida,Stellaria pallida,Stellaria_pallida,Caryophyllaceae,NA,12,0,0,0,0,0,0,0,0,0,,,0,,
Teesdalia_nudicaulis,Teesdalia nudicaulis,Teesdalia_nudicaulis,Brassicaceae,NA,4,0,0,0,0,0,0,0,0,0,,,0,,
Thymus_pulegioides,Thymus pulegioides,Thymus_pulegioides,Lamiaceae,Nepetoideae,3,0,0,0,0,0,0,0,0,0,,,0,,
Tragopogon,Tragopogon,Tragopogon,Asteraceae,Cichorioideae,2,0,0,0,0,0,0,0,0,0,,,0,,
Tragopogon_dubius,Tragopogon dubius,Tragopogon_dubius,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Tragopogon_pratensis,Tragopogon pratensis,Tragopogon_pratensis,Asteraceae,Cichorioideae,1,0,0,0,0,0,0,0,0,0,,,0,,
Trifolium_arvense,Trifolium arvense,Trifolium_arvense,Fabaceae,Papilionoideae,33,1,1,1,0,0,0,0,0,0,,,0,,similar to Trifolium pratense
Trifolium_campestre,Trifolium campestre,Trifolium_campestre,Fabaceae,Papilionoideae,11,0,1,1,0,0,0,0,0,0,,,0,,similar to Trifolium pratense
Trifolium_dubium,Trifolium dubium,Trifolium_dubium,Fabaceae,Papilionoideae,4,0,1,1,0,0,0,0,0,0,,,0,,similar to Trifolium pratense
Trifolium_striatum,Trifolium striatum,Trifolium_striatum,Fabaceae,Papilionoideae,1,0,1,1,0,0,0,0,0,0,,,0,,similar to Trifolium pratense
Turritis_glabra,Turritis glabra,Turritis_glabra,Brassicaceae,NA,2,0,0,0,0,0,0,0,0,0,,,0,,
Veronica_arvensis,Veronica arvensis,Veronica_arvensis,Plantaginaceae,NA,41,0,0,0,0,0,0,0,0,0,,,0,,
Veronica_chamaedrys,Veronica chamaedrys,Veronica_chamaedrys,Plantaginaceae,NA,5,0,0,0,0,0,0,0,0,0,,,0,,
Veronica_officinalis,Veronica officinalis,Veronica_officinalis,Plantaginaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Veronica_prostrata,Veronica prostrata,Veronica_prostrata,Plantaginaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Veronica_sublobata,Veronica sublobata,Veronica_hederifolia,Plantaginaceae,NA,12,0,0,0,0,0,0,0,0,0,,,0,,
Vicia_angustifolia,Vicia angustifolia,Vicia_sativa_subsp._cordata,Fabaceae,Papilionoideae,27,1,1,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Vicia_cracca,Vicia cracca,Vicia_cracca,Fabaceae,Papilionoideae,1,0,0,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Vicia_hirsuta,Vicia hirsuta,Vicia_hirsuta,Fabaceae,Papilionoideae,23,2,0,0,0,0,0,0,0,0,,,0,,"pollen : limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261: severe contact allergy - Occupational allergic contact dermatitis caused by weeds of the Compositae, Fabaceae and Rosaceae plant families"
Vicia_lathyroides,Vicia lathyroides,Vicia_lathyroides,Fabaceae,Papilionoideae,27,0,0,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Vicia_sepium,Vicia sepium,Vicia_sepium,Fabaceae,Papilionoideae,1,0,0,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Vicia_tetrasperma,Vicia tetrasperma,Vicia_tetrasperma,Fabaceae,Papilionoideae,2,0,0,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Vicia_villosa,Vicia villosa,Vicia_villosa,Fabaceae,Papilionoideae,7,0,0,0,0,0,0,0,0,0,,,0,,limited evidence on Vicia Sativa (Picon et al. 1991); FDA =  1261
Viola_arvensis,Viola arvensis,Viola_arvensis,Violaceae,NA,2,0,0,0,0,0,0,0,0,0,,,0,,
Viola_canina,Viola canina,Viola_canina,Violaceae,NA,3,0,0,0,0,0,0,0,0,0,,,0,,
Viola_suavis,Viola suavis,Viola_suavis,Violaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
Viola_tricolor,Viola tricolor,Viola_tricolor,Violaceae,NA,1,0,0,0,0,0,0,0,0,0,,,0,,
