Species_name,Flowering_beg,Flowering_end,Pollen_dispersal,Source
Holosteum umbellatum,March,May,"Selfing, pseudocleistogamy,  insects",BioFlor- 2018
Hypericum perforatum,July,August,"Selfing, insects",BioFlor- 2018
Hypochaeris radicata,June,September,Insects,BioFlor- 2018
Jasione montana,June,August,Insects,BioFlor- 2018
Koeleria macrantha,June,July,"Wind, selfing",BioFlor- 2018
Koeleria pyramidata,June,July,Wind,BioFlor- 2018
Lamium purpureum,March,October,"Selfing, insects",BioFlor- 2018
Lapsana communis,June,September,"Selfing, insects",BioFlor- 2018
Leucanthemum vulgare agg.,June,October,"Selfing, insects, snails",BioFlor- 2018
Linaria vulgaris,June,October,Insects,BioFlor- 2018
Lolium multiflorum,June,August,Wind,BioFlor- 2018
Lolium perenne,May,October,Wind,BioFlor- 2018
Lotus corniculatus,June,August,Insects,BioFlor- 2018
Luzula campestris,March,April,"Wind, selfing, insects",BioFlor- 2018
Luzula multiflora,April,May,"Wind, insects",BioFlor- 2018
Malva moschata,June,October,Insects,BioFlor- 2018
Medicago falcata,June,September,Insects,BioFlor- 2018
Medicago lupulina,May,October,"Selfing, insects",BioFlor- 2018
Medicago minima,May,June,Selfing,BioFlor- 2018
Medicago x varia,June,September,Insects,BioFlor- 2018
Melampyrum pratense,June,September,"Selfing, insects",BioFlor- 2018
Melilotus officinalis,June,September,"Selfing, insects",BioFlor- 2018
Moehringia trinervia,May,July,"Selfing, insects",BioFlor- 2018
Myosotis arvensis,April,September,"Selfing, insects",BioFlor- 2018
Myosotis ramosissima,April,June,"Selfing, insects",BioFlor- 2018
Myosotis stricta,March,June,"Selfing, insects",BioFlor- 2018
Oenothera biennis agg.,June,August,"Selfing, insects",BioFlor- 2018
Ononis repens,June,July,Insects,BioFlor- 2018
Papaver,May,August,"Selfing, kleistogamy, pseudokleistogamy, insects",BioFlor- 2018
Papaver argemone,May,July,"Selfing, pseudokleistogamy, insects",BioFlor- 2018
Papaver dubium,May,July,"Selfing, insects",BioFlor- 2018
Petrorhagia prolifera,June,October,"Selfing, insects",BioFlor- 2018
Petrorhagia saxifraga,June,September,"Selfing, insects",BioFlor- 2018
Peucedanum oreoselinum,July,August,Insects,BioFlor- 2018
Picris hieracioides,July,October,"Selfing, insects",BioFlor- 2018
Pimpinella saxifraga agg.,July,September,Insects,BioFlor- 2018
Pinus sylvestris,May,June,Wind,BioFlor- 2018
Plantago arenaria,June,September,"Wind, insects",BioFlor- 2018
Plantago lanceolata,May,October,"Wind, geitonogamy, insects",BioFlor- 2018
Plantago major,June,October,"Wind, selfing, geitonogamy",BioFlor- 2018
Poa angustifolia,May,June,Wind,BioFlor- 2018
Poa annua,January,December,"Wind, selfing, cleistogamy",BioFlor- 2018
Poa bulbosa,May,June,Wind,BioFlor- 2018
