"","Species","genus","Allergen.simple","Allergen.Family","Databases","Ref.manual","Mol.alt","Allergen.genus","Types","Matched.names","Species.in.data","Accepted.names.in.data","Matches.with.database"
"215","Festuca_ovina","Festuca","Bra_di_2","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 2","Festuca_2","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_ovina","Festuca_ovina","3"
"216","Festuca_ovina","Festuca","Fes_e_13","AF057: Polygalacturonase","AllergomeData","NA","Fes e 13","Festuca_13","NA","Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior","Festuca_ovina","Festuca_ovina","3"
"217","Festuca_ovina","Festuca","Fes_p_13","AF057: Polygalacturonase","AllergomeData","NA","Fes p 13","Festuca_13","NA","Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_ovina","Festuca_ovina","3"
"218","Festuca_ovina","Festuca","Poe_1","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 1;Bra sy 1;Fes e 1;Fes p 1;Fes r 1","Poe_1","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Agropyron_sylvaticum;_Brachypodium_gracile_f._pubescens;_Brachypodium_miserum;_Brachypodium_pubescens;_Brachypodium_sylvaticum;_Brachypodium_watti;_Brevipodium_sylvaticum;_Bromus_dumosus;_Bromus_sylvaticus;_Festuca_sylvatica;_Grasses;_Plants;_Poaceae;_Slender_False_Brome;_Triticum_sylvaticum;_Wood_False_Brome;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_ovina","Festuca_ovina","1b"
"219","Festuca_ovina","Festuca","Poe_12","AF051: Profilin","AllergomeData","NA","Bra di 12","Poe_12","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_ovina","Festuca_ovina","1b"
"220","Festuca_ovina","Festuca","Poe_4","AF099: Berberine bridge enzyme","AllergomeData;IUISallergens","NA","Bra di 4;Fes e 4;Fes p 4","Poe_4","NA;Airway","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_ovina","Festuca_ovina","1b"
"221","Festuca_ovina","Festuca","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","NA","Bra di 5;Fes e 5;Fes p 5;Fes r 5","Poe_5","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_ovina","Festuca_ovina","1b"
"222","Festuca_ovina","Festuca","Poe_7","AF007: EF hand family","AllergomeData","NA","Bra di 7;Fes e 7","Poe_7","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior","Festuca_ovina","Festuca_ovina","1b"
"223","Festuca_pratensis","Festuca","Bra_di_11","AF087: Ole e 1 family","AllergomeData","NA","Bra di 11","Festuca_11","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_pratensis","Festuca_pratensis","3"
"224","Festuca_pratensis","Festuca","Bra_di_13","AF057: Polygalacturonase","AllergomeData","NA","Bra di 13","Festuca_13","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_pratensis","Festuca_pratensis","3"
"225","Festuca_pratensis","Festuca","Bra_di_2","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 2","Festuca_2","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_pratensis","Festuca_pratensis","3"
"226","Festuca_pratensis","Festuca","Fes_e_13","AF057: Polygalacturonase","AllergomeData","NA","Fes e 13","Festuca_13","NA","Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior","Festuca_pratensis","Festuca_pratensis","3"
"227","Festuca_pratensis","Festuca","Fes_p_13","AF057: Polygalacturonase","AllergomeData","NA","Fes p 13","Festuca_13","NA","Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_pratensis","Festuca_pratensis","1"
"228","Festuca_pratensis","Festuca","Poe_1","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 1;Bra sy 1;Fes e 1;Fes p 1;Fes r 1","Poe_1","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Agropyron_sylvaticum;_Brachypodium_gracile_f._pubescens;_Brachypodium_miserum;_Brachypodium_pubescens;_Brachypodium_sylvaticum;_Brachypodium_watti;_Brevipodium_sylvaticum;_Bromus_dumosus;_Bromus_sylvaticus;_Festuca_sylvatica;_Grasses;_Plants;_Poaceae;_Slender_False_Brome;_Triticum_sylvaticum;_Wood_False_Brome;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_pratensis","Festuca_pratensis","1b"
"229","Festuca_pratensis","Festuca","Poe_12","AF051: Profilin","AllergomeData","NA","Bra di 12","Poe_12","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_pratensis","Festuca_pratensis","1b"
"230","Festuca_pratensis","Festuca","Poe_4","AF099: Berberine bridge enzyme","AllergomeData;IUISallergens","NA","Bra di 4;Fes e 4;Fes p 4","Poe_4","NA;Airway","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_pratensis","Festuca_pratensis","1b"
"231","Festuca_pratensis","Festuca","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","NA","Bra di 5;Fes e 5;Fes p 5;Fes r 5","Poe_5","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_pratensis","Festuca_pratensis","1b"
"232","Festuca_pratensis","Festuca","Poe_7","AF007: EF hand family","AllergomeData","NA","Bra di 7;Fes e 7","Poe_7","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior","Festuca_pratensis","Festuca_pratensis","1b"
"233","Festuca_rubra_agg.","Festuca","Bra_di_11","AF087: Ole e 1 family","AllergomeData","NA","Bra di 11","Festuca_11","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_rubra_agg.","Festuca_rubra_agg.","3"
"234","Festuca_rubra_agg.","Festuca","Bra_di_13","AF057: Polygalacturonase","AllergomeData","NA","Bra di 13","Festuca_13","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_rubra_agg.","Festuca_rubra_agg.","3"
"235","Festuca_rubra_agg.","Festuca","Bra_di_2","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 2","Festuca_2","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_rubra_agg.","Festuca_rubra_agg.","3"
"236","Festuca_rubra_agg.","Festuca","Fes_e_13","AF057: Polygalacturonase","AllergomeData","NA","Fes e 13","Festuca_13","NA","Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior","Festuca_rubra_agg.","Festuca_rubra_agg.","3"
"237","Festuca_rubra_agg.","Festuca","Fes_p_13","AF057: Polygalacturonase","AllergomeData","NA","Fes p 13","Festuca_13","NA","Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_rubra_agg.","Festuca_rubra_agg.","3"
"238","Festuca_rubra_agg.","Festuca","Poe_1","AF093: Expansin and expansin-like","AllergomeData","NA","Bra di 1;Bra sy 1;Fes e 1;Fes p 1;Fes r 1","Poe_1","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Agropyron_sylvaticum;_Brachypodium_gracile_f._pubescens;_Brachypodium_miserum;_Brachypodium_pubescens;_Brachypodium_sylvaticum;_Brachypodium_watti;_Brevipodium_sylvaticum;_Bromus_dumosus;_Bromus_sylvaticus;_Festuca_sylvatica;_Grasses;_Plants;_Poaceae;_Slender_False_Brome;_Triticum_sylvaticum;_Wood_False_Brome;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_rubra_agg.","Festuca_rubra_agg.","1b"
"239","Festuca_rubra_agg.","Festuca","Poe_12","AF051: Profilin","AllergomeData","NA","Bra di 12","Poe_12","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya","Festuca_rubra_agg.","Festuca_rubra_agg.","1b"
"240","Festuca_rubra_agg.","Festuca","Poe_4","AF099: Berberine bridge enzyme","AllergomeData;IUISallergens","NA","Bra di 4;Fes e 4;Fes p 4","Poe_4","NA;Airway","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae","Festuca_rubra_agg.","Festuca_rubra_agg.","1b"
"241","Festuca_rubra_agg.","Festuca","Poe_5","AF102: Group 5/6 grass pollen allergen","AllergomeData","NA","Bra di 5;Fes e 5;Fes p 5;Fes r 5","Poe_5","NA","Agropyron_distachyo;_Brachypodium_distachyon;_Brachypodium_distachyum;_Bromus_geniculatus;_Festuca_distachya;_Grasses;_Plants;_Poaceae;_Purple_False_Brome;_Trachynia_distachya;_Zerna_distachya;Avena_secunda;_Bromus_arundinaceus;_Bromus_elatior;_Bucetum_elatius;_Festuca_arundinacea;_Festuca_elatior;_Festuca_fenas;_Festuca_mediterranea;_Festuca_orientalis;_Festuca_phoenix;_Gnomonia_elatior;_Grasses;_Lolium_arundinaceum;_Plants;_Poa_elatior;_Poa_kunthii;_Poa_phoenix;_Poa_uliginosa;_Poaceae;_Reed_Fescue;_Schedonorus_arundinaceus;_Schedonorus_elatior;_Schedonorus_phoenix;_Tragus_elatior;Festuca_pratensis;_Grasses;_Meadow_Fescue;_Plants;_Poaceae;Festuca_rubra;_Grasses;_Plants;_Poaceae;_Red_Fescue","Festuca_rubra_agg.","Festuca_rubra_agg.","1b"
