Species_name;clonal_adventitious_buds_on_roots;clonal_bulbs;clonal_epigeogeneous_stems;clonal_hypogeogeneous_stems;clonal_plant_fragments_of_stem_origin;clonal_plantlets_(pseudovivipary);clonal_rooting_horizontal_stems;clonal_root-splitters;clonal_spacers_above_and_renewal_buds_below_soil_surface;clonal_stem_tubers;clonal_buds_on_leaves_(gemmipary);reprod_type;LifeF_macrophanero;LifeF_nanophanero;LifeF_hemicrypto;LifeF_geophyte;LifeF_chamae;LifeF_hemiphanero;LifeF_pseudo;LifeF_thero;flower_class;legume;flower_brown;flower_yellow;flower_green;flower_red;flower_white;flower_pink;flower_purple;flower_violet;flower_blue;DispersalUnitLength_mean;LeafArea_mean;LeafNitrogenContent_mean;PlantHeight_mean;PlantMycorrhizalInfection_mean;SeedDryMass_mean;SLA_mean
Bromus_tectorum;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;W;0;0;1;0;0;0;0;0;0;0;14.86785714;238.5650979;20.47857143;0.242349814;;2.847330949;20.70579487
Calamagrostis_epigejos;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;2.026;2054.751582;13.12887967;1.088333333;70;0.065083333;22.18027655
Campanula_rapunculus;0;0;0;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;Hb;0;0;0;0;0;0;0;0;1;0;0.403333333;746.10376;32.90423333;0.478571429;;0.031111111;38.37214769
Capsella_bursa-pastoris;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.951428571;1010.393256;37.61035833;0.252959559;10;0.120740833;30.65054686
Cardamine_hirsuta;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;1;156.179585;16.28593917;0.154553846;10;0.111681481;26.26621475
Cardaminopsis_arenosa;0;0;0;0;0;0;1;0;0;0;0;s;0;0;1;0;0;0;0;0;AB;0;0;0;0;0;1;0;1;0;0;;;;;;;
Carex_arenaria;0;0;0;1;0;0;0;0;0;0;0;vvs;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.675555556;449.4158877;19.91130683;0.277925;10;0.921443478;15.84658771
Carex_caryophyllea;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;2.261111111;351.75;18.03809524;0.150645101;10;1.032816667;21.28749453
Carex_hirta;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;5.09375;1141.21625;22.5694777;0.306836957;10;2.383235294;18.50496477
Carex_ligerica;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;3.302;276.2233333;;0.205;;0.87;16.5
Carex_praecox;0;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;2.52;;;0.205;;;16.05
Carex_spicata;0;0;1;0;0;0;0;0;0;0;0;ssv;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;4.291428571;309.7555556;;0.38125;10;2.248536364;21.02222222
Centaurea_jacea;0;0;1;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;0;0;1;0;0;3.242857143;879.3345062;24.62191756;0.558240838;;1.3622;20.09701294
Centaurea_stoebe;1;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;0;0;1;0;0;4.206666667;362.937619;;0.688977273;;2.21125;18.46607235
Cerastium_arvense;0;0;1;1;0;0;0;0;0;0;0;sv;0;0;0;0;1;0;0;0;AB;0;0;0;0;0;1;0;0;0;0;0.836666667;29.25282051;29.59;0.137264957;10;0.204586667;20.27469097
Cerastium_glomeratum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.518;141.1799346;21.26677625;0.183219355;;0.0597428;24.11788222
Cerastium_glutinosum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;;;;0.1;;;
Cerastium_holosteoides;0;0;0;0;0;0;0;1;0;0;0;sv;0;0;0;0;1;0;0;0;AB;0;0;0;0;0;1;0;0;0;0;;120.0843789;10.91368067;0.25702381;;0.1175;28.02645938
Cerastium_semidecandrum;0;0;0;0;0;0;0;1;0;0;0;s;0;0;1;0;0;0;0;1;AB;0;0;0;0;0;1;0;0;0;0;0.475;50.33034896;7.140257667;0.074714716;10;0.038451905;17.96481978
Chenopodium_album;0;0;0;0;0;0;0;1;0;0;0;s;0;0;0;0;0;0;0;1;Wb;0;0;0;1;0;0;0;0;0;0;1.356666667;1051.40423;34.86253352;0.391736318;10;0.768285714;26.37154174
Chondrilla_juncea;1;0;0;0;0;0;0;1;0;0;0;ssv;0;0;1;0;0;0;0;0;B`;0;0;1;0;0;0;0;0;0;0;8.66;300.3333333;21.53;0.62825;;0.4365;9.487571429
Cirsium_arvense;1;0;0;1;0;0;0;0;0;0;0;sv;0;0;0;1;0;0;0;0;B`;0;0;0;0;0;0;1;0;0;0;7.766;1964.061245;22.05147366;0.660908207;70;1.202497222;17.72296396
Cirsium_vulgare;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;B`;0;0;0;0;0;0;0;1;0;0;6.74125;10596.79231;32.5;1.042;70;2.662508974;15.57673524
Clematis_vitalba;0;0;1;0;0;0;0;0;0;0;0;s;0;1;0;0;0;0;0;0;PoDe;0;0;0;0;0;1;0;0;0;0;13.68;8886.369656;33.55734286;11.28571429;70;2.16471828;27.86558384
Convolvulus_arvensis;1;0;0;1;0;0;0;0;0;0;0;vvs;0;0;0;1;0;0;0;0;B;0;0;0;0;0;1;0;0;0;0;3.285;527.0303571;33.2788875;0.292757576;70;12.14674375;25.90256849
Conyza_canadensis;1;0;0;1;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;B`;0;0;1;0;0;1;0;0;0;0;2.155;209.1281406;30.1344175;0.515083333;;0.065904713;24.57171205
Corynephorus_canescens;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;0;W;0;0;1;0;0;0;0;0;0;0;1.408571429;33.1325;28.6;0.183333333;10;1.177844444;15.58833333
Crataegus_monogyna;1;0;0;0;0;0;0;0;0;0;0;s;1;1;0;0;0;0;0;0;ABDe;0;0;0;0;0;0;0;1;0;0;8.85;614.2319037;17.92109991;4.693272727;70;128.0043203;13.47520454
Crepis_capillaris;0;0;1;0;0;0;0;0;0;0;0;s;0;0;1;0;0;0;0;1;B`;0;0;1;0;0;0;0;0;0;0;3.1375;1866.162851;27.04610667;0.378149766;70;0.217778939;32.97860036
